"","Species","effect","diff.btw","diff.win"
"1","Holdemania massiliensis",-3.73316705420971,-9.54593863204917,2.70784520473737
"2","Ruminococcus bicirculans (ex Wegman et al. 2014)",3.3674418674047,6.17134901261972,1.89312478367587
"3","Phascolarctobacterium faecium",-2.79824389216606,-8.41028676933882,3.22536233413769
"4","Ruminococcus callidus",2.27509688891707,10.9351179595649,4.9176301339508
"5","Gordonibacter pamelaeae",2.20233487502349,4.44370622112225,1.95902293674038
