Sample	Unique Reads	Duplicate Reads
SRR8146935_1	33214800.0	6843923.0
SRR8146935_2	35101307.0	4957416.0
SRR8146936_1	24321852.0	14171449.0
SRR8146936_2	28208947.0	10284354.0
SRR8146938_1	40606997.0	5119082.0
SRR8146938_2	42080468.0	3645611.0
SRR8146944_1	18915597.0	8856193.0
SRR8146944_2	21861063.0	5910727.0
SRR8146963_1	24964759.0	5303573.0
SRR8146963_2	26644724.0	3623608.0
SRR8146968_1	29602790.0	12560447.0
SRR8146968_2	34467920.0	7695317.0
